date, pm25, pm10, o3, no2, so2, co
2018/5/14, 21, 25, 27, 10, , 6
2018/5/15, 28, 23, 11, 17, 2, 6
2018/5/16, 47, 26, 19, 12, , 6
2018/5/17, 23, 11, 25, 11, , 6
2018/5/18, 54, 35, 35, 10, 1, 5
2018/5/19, 39, 30, 42, 10, 1, 5
2018/5/20, 35, 23, 40, 8, , 6
2018/5/21, 35, 25, 43, 14, 1, 7
2018/5/22, 55, 27, 47, 14, 1, 6
2018/5/23, 58, 31, 53, 7, 1, 5
2018/5/24, 38, 22, 49, 11, 1, 5
2018/5/25, 35, 23, 52, 14, 3, 6
2018/5/26, 46, 25, 50, 9, 1, 6
2018/5/27, 60, 27, 53, 7, 1, 7
2018/5/28, 48, 38, 43, 17, 1, 7
2018/5/29, 52, 32, 25, 19, 1, 7
2018/5/30, 59, 37, , , , 
2018/4/1, , 24, , , , 
2018/4/2, , 20, , , , 
2018/4/3, , 30, , , , 
2018/4/4, , 41, , , , 
2018/4/5, , 31, , , , 
2018/4/6, , 29, , , , 
2018/4/7, , 44, , , , 
2018/4/8, , 38, , , , 
2018/4/9, , 37, , , , 
2018/4/10, , 48, , , , 
2018/4/11, , 46, , , , 
2018/4/12, , 54, , , , 
2018/4/13, , 54, , , , 
2018/4/14, , 29, , , , 
2018/4/15, , 33, , , , 
2018/4/16, , 50, , , , 
2018/4/17, , 33, , , , 
2018/4/18, , 35, , , , 
2018/4/19, , 38, , , , 
2018/4/21, , 25, , , , 
2018/4/22, , 21, , , , 
2018/4/23, , 37, , , , 
2018/4/24, , 36, , , , 
2018/4/25, , 37, , , , 
2018/4/26, , 24, , , , 
2018/4/27, , 22, , , , 
2018/4/28, , 28, , , , 
2018/4/29, , 30, , , , 
2018/4/30, , 36, , , , 
2018/5/1, , 27, , , , 
2018/5/2, , 42, , , , 
2018/5/3, , 41, , , , 
2018/5/4, , 32, , , , 
2018/5/5, , 24, , , , 
2018/5/6, , 24, , , , 
2018/5/7, , 30, , , , 
2018/5/8, , 30, , , , 
2018/5/9, , 33, , , , 
2018/5/10, , 33, , , , 
2018/5/11, , 34, , , , 
2018/5/12, , 30, , , , 
2018/5/13, , 25, 23, 9, , 6
2018/1/1, , 33, , , , 
2018/1/2, , 54, , , , 
2018/1/3, , 14, , , , 
2018/1/4, , 14, , , , 
2018/1/5, , 19, , , , 
2018/1/6, , 65, , , , 
2018/1/7, , 42, , , , 
2018/1/8, , 24, , , , 
2018/1/9, , 36, , , , 
2018/1/10, , 54, , , , 
2018/1/11, , 53, , , , 
2018/1/12, , 34, , , , 
2018/1/13, , 20, , , , 
2018/1/14, , 27, , , , 
2018/1/15, , 64, , , , 
2018/1/16, , 32, , , , 
2018/1/17, , 20, , , , 
2018/1/18, , 16, , , , 
2018/1/19, , 23, , , , 
2018/1/20, , 62, , , , 
2018/1/21, , 61, , , , 
2018/1/22, , 63, , , , 
2018/1/23, , 78, , , , 
2018/1/24, , 69, , , , 
2018/1/25, , 87, , , , 
2018/1/26, , 119, , , , 
2018/1/27, , 85, , , , 
2018/1/28, , 38, , , , 
2018/1/29, , 14, , , , 
2018/1/30, , 12, , , , 
2018/1/31, , 32, , , , 
2018/2/1, , 39, , , , 
2018/2/2, , 34, , , , 
2018/2/3, , 71, , , , 
2018/2/4, , 66, , , , 
2018/2/5, , 23, , , , 
2018/2/6, , 61, , , , 
2018/2/7, , 66, , , , 
2018/2/8, , 68, , , , 
2018/2/9, , 86, , , , 
2018/2/10, , 71, , , , 
2018/2/11, , 64, , , , 
2018/2/12, , 70, , , , 
2018/2/13, , 120, , , , 
2018/2/14, , 37, , , , 
2018/2/15, , 50, , , , 
2018/2/16, , 76, , , , 
2018/2/17, , 73, , , , 
2018/2/18, , 52, , , , 
2018/2/19, , 41, , , , 
2018/2/20, , 61, , , , 
2018/2/21, , 54, , , , 
2018/2/22, , 40, , , , 
2018/2/23, , 44, , , , 
2018/2/24, , 43, , , , 
2018/2/25, , 35, , , , 
2018/2/26, , 45, , , , 
2018/2/27, , 38, , , , 
2018/2/28, , 40, , , , 
2018/3/1, , 85, , , , 
2018/3/2, , 77, , , , 
2018/3/3, , 84, , , , 
2018/3/4, , 112, , , , 
2018/3/5, , 105, , , , 
2018/3/6, , 94, , , , 
2018/3/7, , 71, , , , 
2018/3/8, , 48, , , , 
2018/3/9, , 54, , , , 
2018/3/10, , 63, , , , 
2018/3/11, , 48, , , , 
2018/3/12, , 26, , , , 
2018/3/13, , 18, , , , 
2018/3/14, , 32, , , , 
2018/3/15, , 38, , , , 
2018/3/16, , 34, , , , 
2018/3/17, , 17, , , , 
2018/3/18, , 21, , , , 
2018/3/19, , 27, , , , 
2018/3/20, , 47, , , , 
2018/3/21, , 40, , , , 
2018/3/22, , 51, , , , 
2018/3/23, , 75, , , , 
2018/3/24, , 68, , , , 
2018/3/25, , 60, , , , 
2018/3/26, , 59, , , , 
2018/3/27, , 50, , , , 
2018/3/28, , 43, , , , 
2018/3/29, , 46, , , , 
2018/3/30, , 35, , , , 
2018/3/31, , 29, , , , 
2017/10/1, , 44, , , , 
2017/10/2, , 44, , , , 
2017/10/3, , 34, , , , 
2017/10/4, , 18, , , , 
2017/10/5, , 20, , , , 
2017/10/6, , 12, , , , 
2017/10/7, , 15, , , , 
2017/10/8, , 12, , , , 
2017/10/9, , 22, , , , 
2017/10/10, , 16, , , , 
2017/10/11, , 12, , , , 
2017/10/12, , 22, , , , 
2017/10/13, , 31, , , , 
2017/10/14, , 41, , , , 
2017/10/15, , 27, , , , 
2017/10/16, , 42, , , , 
2017/10/17, , 48, , , , 
2017/10/18, , 62, , , , 
2017/10/19, , 59, , , , 
2017/10/20, , 63, , , , 
2017/10/21, , 54, , , , 
2017/10/22, , 38, , , , 
2017/10/23, , 23, , , , 
2017/10/24, , 21, , , , 
2017/10/25, , 35, , , , 
2017/10/26, , 27, , , , 
2017/10/27, , 21, , , , 
2017/10/28, , 14, , , , 
2017/10/29, , 9, , , , 
2017/10/30, , 15, , , , 
2017/10/31, , 27, , , , 
2017/11/1, , 19, , , , 
