date, pm25, pm10, o3, no2, so2, co
2024/1/7, 49, 28, 14, 9, 2, 
2024/1/8, 79, 50, 14, 15, 3, 
2024/1/9, 125, 91, 3, 32, 3, 
2024/1/10, 189, 60, 13, 24, 10, 
2024/1/11, 143, 20, 20, 14, 4, 
2024/1/12, 64, 18, 22, 6, 3, 
2024/1/13, 55, 15, 21, 7, 2, 
2024/1/14, 49, 13, 24, 7, 2, 
2024/1/15, 38, 14, 22, 11, 2, 
2024/1/16, 40, 38, 11, 26, 3, 
2024/1/18, 83, 25, 20, 13, 3, 
2024/1/19, 69, 22, 27, 7, 3, 
2024/1/20, 60, 35, 24, 15, 3, 
2024/1/21, 79, 56, 29, 25, 2, 
2024/1/22, 110, 18, 22, 11, 2, 
2024/1/23, 55, 13, 30, 11, 2, 
2024/1/24, 32, 12, 30, 7, 1, 
2024/1/25, 27, 21, 24, 16, 2, 
2024/1/26, 51, 12, 30, 7, 1, 
2024/1/27, 31, 24, 15, 14, 1, 
2024/1/28, 69, 37, 7, 20, 1, 
2024/1/29, 84, 59, , 17, 1, 
2024/1/30, 160, , , , , 
2023/10/1, 45, 22, 24, 11, 2, 
2023/10/2, 43, 29, 19, 15, 2, 
2023/10/3, 52, 14, 27, 9, 2, 
2023/10/4, 29, 21, 28, 10, 2, 
2023/10/5, 44, 20, 26, 11, 2, 
2023/10/6, 46, 17, 29, 5, 2, 
2023/10/7, 34, 10, 26, 6, 2, 
2023/10/8, 19, 14, 16, 13, 2, 
2023/10/9, 41, 30, 11, 11, 2, 
2023/10/10, 59, 34, 20, 12, 2, 
2023/10/11, 62, 28, 32, 13, 2, 
2023/10/12, 59, 25, 21, 13, 2, 
2023/10/13, 57, 29, 30, 10, 2, 
2023/10/14, 52, 14, 23, 7, 2, 
2023/10/15, 27, 17, 19, 8, 3, 
2023/10/16, 36, 28, 19, 15, 3, 
2023/10/17, 65, 34, 23, 16, 3, 
2023/10/18, 77, 45, 4, 18, 3, 
2023/10/19, 97, 46, 7, 16, 3, 
