year,month,mean_temp_monthly,blh_monthly,station_id
2019,1,-1.67,517.1,aleja_krasinskiego
2019,2,3.01,459.7,aleja_krasinskiego
2019,3,6.48,704.5,aleja_krasinskiego
2019,4,10.14,596.3,aleja_krasinskiego
2019,5,12.49,535.5,aleja_krasinskiego
2019,6,21.58,565.8,aleja_krasinskiego
2019,7,19.38,677.9,aleja_krasinskiego
2019,8,20.44,471.0,aleja_krasinskiego
2019,9,15.05,549.3,aleja_krasinskiego
2019,10,11.37,342.5,aleja_krasinskiego
2019,11,7.07,254.3,aleja_krasinskiego
2019,12,3.02,379.0,aleja_krasinskiego
2020,1,1.35,349.5,aleja_krasinskiego
2020,2,4.32,660.8,aleja_krasinskiego
2020,3,5.09,603.5,aleja_krasinskiego
2020,4,9.93,665.4,aleja_krasinskiego
2020,5,11.83,654.9,aleja_krasinskiego
2020,6,18.1,509.2,aleja_krasinskiego
2020,7,19.14,542.3,aleja_krasinskiego
2020,8,20.86,562.5,aleja_krasinskiego
2020,9,15.65,378.8,aleja_krasinskiego
2020,10,10.74,368.4,aleja_krasinskiego
2020,11,5.39,265.7,aleja_krasinskiego
2020,12,1.76,221.6,aleja_krasinskiego
2021,1,-1.09,334.1,aleja_krasinskiego
2021,2,-0.94,358.0,aleja_krasinskiego
2021,3,3.57,535.1,aleja_krasinskiego
2021,4,6.42,619.2,aleja_krasinskiego
2021,5,12.59,657.2,aleja_krasinskiego
2021,6,19.32,564.1,aleja_krasinskiego
2021,7,21.5,500.9,aleja_krasinskiego
2021,8,17.69,497.4,aleja_krasinskiego
2021,9,14.48,463.6,aleja_krasinskiego
2021,10,9.23,390.5,aleja_krasinskiego
2021,11,5.29,383.7,aleja_krasinskiego
2021,12,-0.14,397.5,aleja_krasinskiego
2022,1,0.48,644.0,aleja_krasinskiego
2022,2,3.49,750.2,aleja_krasinskiego
2022,3,2.66,423.3,aleja_krasinskiego
2022,4,6.86,638.4,aleja_krasinskiego
2022,5,14.65,633.0,aleja_krasinskiego
2022,6,19.48,618.5,aleja_krasinskiego
2022,7,19.43,617.6,aleja_krasinskiego
2022,8,20.56,440.8,aleja_krasinskiego
2022,9,13.32,495.8,aleja_krasinskiego
2022,10,11.67,338.3,aleja_krasinskiego
2022,11,4.54,240.5,aleja_krasinskiego
2022,12,0.3,332.6,aleja_krasinskiego
2023,1,2.98,423.6,aleja_krasinskiego
2023,2,1.26,624.7,aleja_krasinskiego
2023,3,5.71,610.0,aleja_krasinskiego
2023,4,7.77,566.6,aleja_krasinskiego
2023,5,12.83,534.1,aleja_krasinskiego
2023,6,17.88,549.8,aleja_krasinskiego
2023,7,20.92,585.4,aleja_krasinskiego
2023,8,20.72,426.7,aleja_krasinskiego
2023,9,17.89,386.5,aleja_krasinskiego
2023,10,12.65,474.9,aleja_krasinskiego
2023,11,5.25,536.6,aleja_krasinskiego
2023,12,1.98,496.9,aleja_krasinskiego
2024,1,-0.35,,aleja_krasinskiego
2024,2,6.66,,aleja_krasinskiego
2024,3,7.51,,aleja_krasinskiego
2024,4,11.48,,aleja_krasinskiego
2024,5,16.54,,aleja_krasinskiego
2024,6,19.68,,aleja_krasinskiego
2024,7,21.9,597.0,aleja_krasinskiego
2024,8,21.23,481.1,aleja_krasinskiego
2024,9,17.13,481.0,aleja_krasinskiego
2024,10,10.44,321.7,aleja_krasinskiego
2024,11,3.8,395.7,aleja_krasinskiego
2024,12,2.03,350.8,aleja_krasinskiego
2019,1,-1.67,517.1,kurdwanow
2019,2,3.01,459.7,kurdwanow
2019,3,6.48,704.5,kurdwanow
2019,4,10.14,596.3,kurdwanow
2019,5,12.49,535.5,kurdwanow
2019,6,21.58,565.8,kurdwanow
2019,7,19.38,677.9,kurdwanow
2019,8,20.44,471.0,kurdwanow
2019,9,15.05,549.3,kurdwanow
2019,10,11.37,342.5,kurdwanow
2019,11,7.07,254.3,kurdwanow
2019,12,3.02,379.0,kurdwanow
2020,1,1.35,349.5,kurdwanow
2020,2,4.32,660.8,kurdwanow
2020,3,5.09,603.5,kurdwanow
2020,4,9.93,665.4,kurdwanow
2020,5,11.83,654.9,kurdwanow
2020,6,18.1,509.2,kurdwanow
2020,7,19.14,542.3,kurdwanow
2020,8,20.86,562.5,kurdwanow
2020,9,15.65,378.8,kurdwanow
2020,10,10.74,368.4,kurdwanow
2020,11,5.39,265.7,kurdwanow
